Date,Close,Volume,stock_id
2020-01-02,20450.0,32133,SQM-B.SN
2020-01-03,20487.0,35535,SQM-B.SN
2020-01-06,21001.0,76988,SQM-B.SN
2020-01-07,21510.0,41075,SQM-B.SN
2020-01-08,21379.0,101321,SQM-B.SN
2020-01-09,21000.0,43547,SQM-B.SN
2020-01-10,21620.0,14166,SQM-B.SN
2020-01-13,23197.0,22159,SQM-B.SN
2020-01-14,24048.0,42860,SQM-B.SN
2020-01-15,23730.0,104386,SQM-B.SN
2020-01-16,24370.0,30579,SQM-B.SN
2020-01-17,23783.0,14451,SQM-B.SN
2020-01-20,23500.0,20554,SQM-B.SN
2020-01-21,22996.0,51675,SQM-B.SN
2020-01-22,22415.0,10413,SQM-B.SN
2020-01-23,23200.0,20885,SQM-B.SN
2020-01-24,22552.0,15313,SQM-B.SN
2020-01-27,22117.0,11160,SQM-B.SN
2020-01-28,22320.0,17746,SQM-B.SN
2020-01-29,22450.0,3983,SQM-B.SN
2020-01-30,22600.0,17183,SQM-B.SN
2020-01-31,22300.0,37435,SQM-B.SN
2020-02-03,22403.0,32865,SQM-B.SN
2020-02-04,24399.0,120871,SQM-B.SN
2020-02-05,23451.0,54479,SQM-B.SN
2020-02-06,24099.0,67292,SQM-B.SN
2020-02-07,23299.0,23710,SQM-B.SN
2020-02-10,23215.0,57286,SQM-B.SN
2020-02-11,23800.0,43687,SQM-B.SN
2020-02-12,24501.0,12696,SQM-B.SN
2020-02-13,24540.0,106388,SQM-B.SN
2020-02-14,24270.0,2803,SQM-B.SN
2020-02-17,24550.0,14526,SQM-B.SN
2020-02-18,23690.0,12906,SQM-B.SN
2020-02-19,24260.0,34445,SQM-B.SN
2020-02-20,25990.0,30188,SQM-B.SN
2020-02-21,25451.0,58522,SQM-B.SN
2020-02-24,24401.0,9530,SQM-B.SN
2020-02-25,24080.0,33329,SQM-B.SN
2020-02-26,23252.0,48374,SQM-B.SN
2020-02-27,22601.0,57502,SQM-B.SN
2020-02-28,21456.0,181915,SQM-B.SN
2020-03-02,23000.0,93240,SQM-B.SN
2020-03-03,23200.0,1000,SQM-B.SN
2020-03-04,24055.0,65352,SQM-B.SN
2020-03-05,23700.0,57686,SQM-B.SN
2020-03-06,22502.0,58852,SQM-B.SN
2020-03-09,20741.0,55962,SQM-B.SN
2020-03-10,21020.0,37941,SQM-B.SN
2020-03-11,20002.0,32892,SQM-B.SN
2020-03-12,18800.0,49384,SQM-B.SN
2020-03-13,18700.0,61817,SQM-B.SN
2020-03-16,15710.0,66625,SQM-B.SN
2020-03-17,16220.0,66705,SQM-B.SN
2020-03-18,14000.0,25084,SQM-B.SN
2020-03-19,14861.0,23259,SQM-B.SN
2020-03-20,14000.0,394095,SQM-B.SN
2020-03-23,13901.0,23365,SQM-B.SN
2020-03-24,15750.0,59448,SQM-B.SN
2020-03-25,18110.0,168967,SQM-B.SN
2020-03-26,18500.0,53660,SQM-B.SN
2020-03-27,17505.0,33094,SQM-B.SN
2020-03-30,18900.0,56138,SQM-B.SN
2020-03-31,19540.0,162892,SQM-B.SN
2020-04-01,18375.0,64629,SQM-B.SN
2020-04-02,18900.0,43461,SQM-B.SN
2020-04-03,18613.0,29934,SQM-B.SN
2020-04-06,18750.0,65467,SQM-B.SN
2020-04-07,18860.0,39285,SQM-B.SN
2020-04-08,19203.0,44611,SQM-B.SN
2020-04-09,19299.0,11428,SQM-B.SN
2020-04-13,19198.0,20359,SQM-B.SN
2020-04-14,19600.0,15666,SQM-B.SN
2020-04-15,19000.0,31892,SQM-B.SN
2020-04-16,18403.0,53316,SQM-B.SN
2020-04-17,18965.0,15429,SQM-B.SN
2020-04-20,18650.0,32596,SQM-B.SN
2020-04-21,17990.0,13475,SQM-B.SN
2020-04-22,18790.0,20943,SQM-B.SN
2020-04-23,18646.0,22287,SQM-B.SN
2020-04-24,18200.0,20035,SQM-B.SN
2020-04-27,18860.0,20551,SQM-B.SN
2020-04-28,19700.0,95746,SQM-B.SN
2020-04-29,19600.0,9776,SQM-B.SN
2020-04-30,19850.0,52853,SQM-B.SN
2020-05-04,18520.0,44490,SQM-B.SN
2020-05-05,18612.0,17128,SQM-B.SN
2020-05-06,18540.0,28317,SQM-B.SN
2020-05-07,18920.0,73566,SQM-B.SN
2020-05-08,18520.0,48565,SQM-B.SN
2020-05-11,19090.0,13490,SQM-B.SN
2020-05-12,18500.0,77542,SQM-B.SN
2020-05-13,17997.0,41116,SQM-B.SN
2020-05-14,18300.0,27286,SQM-B.SN
2020-05-15,18249.0,16613,SQM-B.SN
2020-05-18,19126.0,41745,SQM-B.SN
2020-05-19,19300.0,61995,SQM-B.SN
2020-05-20,18950.0,28249,SQM-B.SN
2020-05-22,18640.0,195340,SQM-B.SN
