Date,Close,Volume,stock_id
2020-01-02,8381.5,2822,ILC.SN
2020-01-03,8342.0,3215,ILC.SN
2020-01-06,8383.900390625,42353,ILC.SN
2020-01-07,8326.0,1322,ILC.SN
2020-01-08,8150.0,51972,ILC.SN
2020-01-09,8119.89990234375,2999,ILC.SN
2020-01-10,8192.7001953125,2014,ILC.SN
2020-01-13,8130.2998046875,1725,ILC.SN
2020-01-14,8124.0,419,ILC.SN
2020-01-15,7923.2998046875,508,ILC.SN
2020-01-16,7900.0,25000,ILC.SN
2020-01-17,7904.0,1763,ILC.SN
2020-01-20,7605.0,8351,ILC.SN
2020-01-21,7312.0,17206,ILC.SN
2020-01-22,7116.39990234375,90985,ILC.SN
2020-01-23,6958.2001953125,2258,ILC.SN
2020-01-24,7114.2998046875,3638,ILC.SN
2020-01-27,7005.7998046875,831,ILC.SN
2020-01-28,6988.10009765625,1930,ILC.SN
2020-01-29,6920.0,19085,ILC.SN
2020-01-30,6896.7998046875,25035,ILC.SN
2020-01-31,7299.89990234375,11910,ILC.SN
2020-02-03,6899.10009765625,4091,ILC.SN
2020-02-04,6801.5,1228,ILC.SN
2020-02-05,6934.5,2664,ILC.SN
2020-02-06,6979.7001953125,2610,ILC.SN
2020-02-07,7100.0,4025,ILC.SN
2020-02-10,7000.0,163,ILC.SN
2020-02-11,6977.5,1858,ILC.SN
2020-02-12,6975.2998046875,340,ILC.SN
2020-02-13,6827.60009765625,7675,ILC.SN
2020-02-14,6860.0,5482,ILC.SN
2020-02-17,6893.7001953125,10016,ILC.SN
2020-02-18,6772.39990234375,308,ILC.SN
2020-02-19,6593.60009765625,80,ILC.SN
2020-02-20,6477.2998046875,1604,ILC.SN
2020-02-21,6452.60009765625,2888,ILC.SN
2020-02-24,6290.0,982,ILC.SN
2020-02-25,6209.7001953125,1033,ILC.SN
2020-02-26,6151.10009765625,4388,ILC.SN
2020-02-27,6200.2998046875,6131,ILC.SN
2020-02-28,6121.89990234375,2370,ILC.SN
2020-03-02,6224.89990234375,4177,ILC.SN
2020-03-03,6387.5,888,ILC.SN
2020-03-04,6856.2001953125,948,ILC.SN
2020-03-05,6656.89990234375,2514,ILC.SN
2020-03-06,6495.0,444,ILC.SN
2020-03-09,6073.5,1500,ILC.SN
2020-03-10,6169.5,890,ILC.SN
2020-03-11,6157.7998046875,1326,ILC.SN
2020-03-12,5816.0,2413,ILC.SN
2020-03-13,5721.7998046875,3395,ILC.SN
2020-03-16,4577.2998046875,3246,ILC.SN
2020-03-17,4829.10009765625,1728,ILC.SN
2020-03-18,4251.0,34190,ILC.SN
2020-03-19,4422.2001953125,1099,ILC.SN
2020-03-20,4500.0,52265,ILC.SN
2020-03-23,4055.5,1365,ILC.SN
2020-03-24,4113.39990234375,4716,ILC.SN
2020-03-25,4226.7998046875,1434,ILC.SN
2020-03-26,4563.2998046875,1587,ILC.SN
2020-03-27,4896.10009765625,2536,ILC.SN
2020-03-30,5019.60009765625,4918,ILC.SN
2020-03-31,5480.0,5644,ILC.SN
2020-04-01,5264.39990234375,1405,ILC.SN
2020-04-02,5298.5,1687,ILC.SN
2020-04-03,5450.10009765625,5352,ILC.SN
2020-04-06,5797.2001953125,388,ILC.SN
2020-04-07,5682.60009765625,2526,ILC.SN
2020-04-08,5776.7998046875,3294,ILC.SN
2020-04-09,5956.7001953125,2561,ILC.SN
2020-04-13,6080.10009765625,1932,ILC.SN
2020-04-14,6022.2998046875,704,ILC.SN
2020-04-15,5699.0,17902,ILC.SN
2020-04-16,5713.7001953125,1408,ILC.SN
2020-04-17,5851.60009765625,3431,ILC.SN
2020-04-20,5600.0,21411,ILC.SN
2020-04-21,5368.5,2000,ILC.SN
2020-04-22,5392.2001953125,958,ILC.SN
2020-04-23,5493.10009765625,2730,ILC.SN
2020-04-24,5490.0,1158,ILC.SN
2020-04-27,5648.2998046875,1146,ILC.SN
2020-04-28,5820.0,26246,ILC.SN
2020-04-29,5761.0,7623,ILC.SN
2020-04-30,6300.0,13895,ILC.SN
2020-05-04,6065.7001953125,2335,ILC.SN
2020-05-05,6057.2998046875,1700,ILC.SN
2020-05-06,5900.0,6568,ILC.SN
2020-05-07,5920.7001953125,1453,ILC.SN
2020-05-08,5850.0,10642,ILC.SN
2020-05-11,5821.0,12689,ILC.SN
2020-05-12,5727.60009765625,3922,ILC.SN
2020-05-13,5460.39990234375,2561,ILC.SN
2020-05-14,5357.89990234375,764,ILC.SN
2020-05-15,5335.7001953125,5136,ILC.SN
2020-05-18,5364.7998046875,2809,ILC.SN
2020-05-19,5385.39990234375,2651,ILC.SN
2020-05-20,5398.89990234375,1478,ILC.SN
2020-05-22,5361.0,15161,ILC.SN
