Date,Close,Volume,stock_id
2020-01-02,128.8699951171875,703764,COLBUN.SN
2020-01-03,130.75,3682819,COLBUN.SN
2020-01-06,131.0,2671547,COLBUN.SN
2020-01-07,130.88999938964844,2806353,COLBUN.SN
2020-01-08,126.30000305175781,5440760,COLBUN.SN
2020-01-09,127.5,5925964,COLBUN.SN
2020-01-10,128.89999389648438,1816969,COLBUN.SN
2020-01-13,128.10000610351562,4920850,COLBUN.SN
2020-01-14,127.0,2301287,COLBUN.SN
2020-01-15,127.0,3863555,COLBUN.SN
2020-01-16,127.19999694824219,2062170,COLBUN.SN
2020-01-17,127.87999725341797,450650,COLBUN.SN
2020-01-20,125.5999984741211,3495770,COLBUN.SN
2020-01-21,122.0,861929,COLBUN.SN
2020-01-22,121.5,713600,COLBUN.SN
2020-01-23,120.48999786376953,753802,COLBUN.SN
2020-01-24,120.19999694824219,369988,COLBUN.SN
2020-01-27,117.0,713961,COLBUN.SN
2020-01-28,117.0,1155680,COLBUN.SN
2020-01-29,116.12000274658203,528874,COLBUN.SN
2020-01-30,114.0,2079862,COLBUN.SN
2020-01-31,116.5,2711015,COLBUN.SN
2020-02-03,116.51000213623047,4964599,COLBUN.SN
2020-02-04,118.0,2257227,COLBUN.SN
2020-02-05,118.0,3390210,COLBUN.SN
2020-02-06,119.19999694824219,132762,COLBUN.SN
2020-02-07,119.0,1365590,COLBUN.SN
2020-02-10,117.91000366210938,1045208,COLBUN.SN
2020-02-11,118.0,1850810,COLBUN.SN
2020-02-12,116.62000274658203,1741636,COLBUN.SN
2020-02-13,116.20999908447266,1296900,COLBUN.SN
2020-02-14,116.97000122070312,111848,COLBUN.SN
2020-02-17,117.83999633789062,113600,COLBUN.SN
2020-02-18,114.5,671303,COLBUN.SN
2020-02-19,114.01000213623047,1779007,COLBUN.SN
2020-02-20,113.01000213623047,1378479,COLBUN.SN
2020-02-21,114.33000183105469,1521728,COLBUN.SN
2020-02-24,113.0,2755961,COLBUN.SN
2020-02-25,110.0,783356,COLBUN.SN
2020-02-26,107.0,2756946,COLBUN.SN
2020-02-27,106.94999694824219,2274914,COLBUN.SN
2020-02-28,102.69999694824219,10561741,COLBUN.SN
2020-03-02,105.0,3069611,COLBUN.SN
2020-03-03,104.0999984741211,2904488,COLBUN.SN
2020-03-04,106.0,2277014,COLBUN.SN
2020-03-05,106.5,4205201,COLBUN.SN
2020-03-06,103.01000213623047,2925306,COLBUN.SN
2020-03-09,99.98999786376953,3849450,COLBUN.SN
2020-03-10,102.0999984741211,2253899,COLBUN.SN
2020-03-11,100.0,2715749,COLBUN.SN
2020-03-12,95.69999694824219,2831050,COLBUN.SN
2020-03-13,97.0,5034247,COLBUN.SN
2020-03-16,83.0,2639606,COLBUN.SN
2020-03-17,92.0,9016759,COLBUN.SN
2020-03-18,83.0,7795588,COLBUN.SN
2020-03-19,88.94999694824219,1405105,COLBUN.SN
2020-03-20,92.38999938964844,23861517,COLBUN.SN
2020-03-23,82.0,6878048,COLBUN.SN
2020-03-24,81.0999984741211,4686551,COLBUN.SN
2020-03-25,83.5,11283674,COLBUN.SN
2020-03-26,85.0,2912703,COLBUN.SN
2020-03-27,87.0,4628831,COLBUN.SN
2020-03-30,89.0,5357141,COLBUN.SN
2020-03-31,93.0,6256256,COLBUN.SN
2020-04-01,97.0,636369,COLBUN.SN
2020-04-02,105.80000305175781,1331680,COLBUN.SN
2020-04-03,109.0,2234830,COLBUN.SN
2020-04-06,109.58000183105469,2601658,COLBUN.SN
2020-04-07,111.0,4477785,COLBUN.SN
2020-04-08,113.0,2533096,COLBUN.SN
2020-04-09,116.0,681563,COLBUN.SN
2020-04-13,115.5,1545697,COLBUN.SN
2020-04-14,117.0,3054127,COLBUN.SN
2020-04-15,117.8499984741211,11843819,COLBUN.SN
2020-04-16,119.0,7737508,COLBUN.SN
2020-04-17,116.25,1080008,COLBUN.SN
2020-04-20,116.0,2672623,COLBUN.SN
2020-04-21,115.0,11417056,COLBUN.SN
2020-04-22,112.0999984741211,4095635,COLBUN.SN
2020-04-23,113.61000061035156,3716965,COLBUN.SN
2020-04-24,113.0,1910254,COLBUN.SN
2020-04-27,115.0,1017772,COLBUN.SN
2020-04-28,117.9000015258789,4703776,COLBUN.SN
2020-04-29,120.0,1668362,COLBUN.SN
2020-04-30,122.5,2153481,COLBUN.SN
2020-05-04,120.0,2651101,COLBUN.SN
2020-05-05,126.0,918795,COLBUN.SN
2020-05-06,128.89999389648438,3211625,COLBUN.SN
2020-05-07,116.5199966430664,2695203,COLBUN.SN
2020-05-08,115.0999984741211,3367714,COLBUN.SN
2020-05-11,115.98999786376953,4640789,COLBUN.SN
2020-05-12,111.30000305175781,1973209,COLBUN.SN
2020-05-13,108.20999908447266,1550360,COLBUN.SN
2020-05-14,111.06999969482422,2053235,COLBUN.SN
2020-05-15,106.19999694824219,2021113,COLBUN.SN
2020-05-18,113.01000213623047,2994569,COLBUN.SN
2020-05-19,118.0,3399767,COLBUN.SN
2020-05-20,124.0,2109166,COLBUN.SN
2020-05-22,119.7699966430664,8558254,COLBUN.SN
