,Close,Close,Volume,Volume,stock_id
,CC,CCU.SN,CC,CCU.SN,
Date,,,,,
2020-01-02,18.110000610351562,7335.0,2301000.0,13348.0, CC CCU.SN
2020-01-03,16.899999618530273,7479.7998046875,3319300.0,60246.0, CC CCU.SN
2020-01-06,17.200000762939453,7480.0,1850500.0,26030.0, CC CCU.SN
2020-01-07,17.079999923706055,7334.0,1824300.0,5589.0, CC CCU.SN
2020-01-08,17.190000534057617,7370.0,2045300.0,155050.0, CC CCU.SN
2020-01-09,16.739999771118164,7497.89990234375,2669000.0,49085.0, CC CCU.SN
2020-01-10,16.43000030517578,7800.0,3312900.0,17114.0, CC CCU.SN
2020-01-13,16.889999389648438,7640.0,2500100.0,45660.0, CC CCU.SN
2020-01-14,18.200000762939453,7590.0,5113600.0,29460.0, CC CCU.SN
2020-01-15,17.75,7450.0,1772100.0,24790.0, CC CCU.SN
2020-01-16,18.049999237060547,7500.0,1858800.0,26741.0, CC CCU.SN
2020-01-17,17.459999084472656,7450.0,2803800.0,24736.0, CC CCU.SN
2020-01-20,,7408.60009765625,,2211.0, CC CCU.SN
2020-01-21,16.65999984741211,7290.0,2320300.0,19326.0, CC CCU.SN
2020-01-22,16.239999771118164,7015.0,1939100.0,8894.0, CC CCU.SN
2020-01-23,16.18000030517578,7077.5,2884900.0,26763.0, CC CCU.SN
2020-01-24,15.59000015258789,7031.2001953125,2771000.0,1537.0, CC CCU.SN
2020-01-27,14.5600004196167,7000.0,4152300.0,20397.0, CC CCU.SN
2020-01-28,14.470000267028809,7030.0,2715000.0,25095.0, CC CCU.SN
2020-01-29,14.539999961853027,7099.0,2608600.0,4514.0, CC CCU.SN
2020-01-30,14.470000267028809,7190.0,2312000.0,12461.0, CC CCU.SN
2020-01-31,13.869999885559082,7065.0,3283000.0,109164.0, CC CCU.SN
2020-02-03,14.34000015258789,7100.2001953125,2938000.0,18153.0, CC CCU.SN
2020-02-04,14.289999961853027,7175.0,3345100.0,27592.0, CC CCU.SN
2020-02-05,14.829999923706055,7160.0,3437300.0,77374.0, CC CCU.SN
2020-02-06,14.65999984741211,7300.0,2152500.0,39396.0, CC CCU.SN
2020-02-07,14.039999961853027,7350.0,2175100.0,17403.0, CC CCU.SN
2020-02-10,14.100000381469727,7350.0,1992800.0,32602.0, CC CCU.SN
2020-02-11,14.9399995803833,7490.0,1879900.0,32108.0, CC CCU.SN
2020-02-12,15.59000015258789,7335.0,3353100.0,25190.0, CC CCU.SN
2020-02-13,15.680000305175781,7395.0,3687300.0,32696.0, CC CCU.SN
2020-02-14,19.3700008392334,7126.0,12649400.0,32493.0, CC CCU.SN
2020-02-17,,7152.5,,2100.0, CC CCU.SN
2020-02-18,18.559999465942383,7115.0,4507200.0,15800.0, CC CCU.SN
2020-02-19,19.059999465942383,6951.0,3665900.0,33008.0, CC CCU.SN
2020-02-20,19.700000762939453,7041.0,4260300.0,57959.0, CC CCU.SN
2020-02-21,19.440000534057617,6901.0,3040000.0,28888.0, CC CCU.SN
2020-02-24,18.6299991607666,6699.89990234375,3231800.0,41422.0, CC CCU.SN
2020-02-25,16.459999084472656,6617.0,4430200.0,30843.0, CC CCU.SN
2020-02-26,15.550000190734863,6530.2001953125,3826400.0,45541.0, CC CCU.SN
2020-02-27,14.130000114440918,6555.0,4842900.0,32341.0, CC CCU.SN
2020-02-28,14.859999656677246,6144.0,4242300.0,270972.0, CC CCU.SN
2020-03-02,14.430000305175781,6480.0,5094300.0,66183.0, CC CCU.SN
2020-03-03,14.59000015258789,6455.0,5444400.0,90913.0, CC CCU.SN
