Date,Close,Volume,stock_id
2020-01-02,1195.0,99264,ECL.SN
2020-01-03,1160.0,150746,ECL.SN
2020-01-06,1185.800048828125,265947,ECL.SN
2020-01-07,1186.0,20812,ECL.SN
2020-01-08,1189.9000244140625,34418,ECL.SN
2020-01-09,1184.0,162468,ECL.SN
2020-01-10,1214.9000244140625,37754,ECL.SN
2020-01-13,1192.0,34178,ECL.SN
2020-01-14,1183.9000244140625,259345,ECL.SN
2020-01-15,1193.0,61253,ECL.SN
2020-01-16,1228.9000244140625,59663,ECL.SN
2020-01-17,1227.0,23856,ECL.SN
2020-01-20,1200.0,47887,ECL.SN
2020-01-21,1175.0,155700,ECL.SN
2020-01-22,1160.0,175564,ECL.SN
2020-01-23,1149.5999755859375,151527,ECL.SN
2020-01-24,1125.0,88476,ECL.SN
2020-01-27,1120.0,33744,ECL.SN
2020-01-28,1122.4000244140625,2632,ECL.SN
2020-01-29,1108.0,36106,ECL.SN
2020-01-30,1090.0,147938,ECL.SN
2020-01-31,1120.0999755859375,180910,ECL.SN
2020-02-03,1140.0,184135,ECL.SN
2020-02-04,1150.0,283909,ECL.SN
2020-02-05,1144.0,162497,ECL.SN
2020-02-06,1111.0,221583,ECL.SN
2020-02-07,1110.0,37839,ECL.SN
2020-02-10,1095.0999755859375,80454,ECL.SN
2020-02-11,1099.9000244140625,186543,ECL.SN
2020-02-12,1132.5,13867,ECL.SN
2020-02-13,1145.0,71197,ECL.SN
2020-02-14,1144.800048828125,9973,ECL.SN
2020-02-17,1142.9000244140625,151086,ECL.SN
2020-02-18,1116.0,115000,ECL.SN
2020-02-19,1147.0,260375,ECL.SN
2020-02-20,1133.0999755859375,25228,ECL.SN
2020-02-21,1118.0999755859375,16627,ECL.SN
2020-02-24,1125.800048828125,4237,ECL.SN
2020-02-25,1086.0999755859375,75497,ECL.SN
2020-02-26,1080.0,170840,ECL.SN
2020-02-27,1080.0,43152,ECL.SN
2020-02-28,1054.800048828125,281355,ECL.SN
2020-03-02,1050.0,108528,ECL.SN
2020-03-03,1087.0,159121,ECL.SN
2020-03-04,1055.0,457502,ECL.SN
2020-03-05,1050.0,289639,ECL.SN
2020-03-06,1043.800048828125,16440,ECL.SN
2020-03-09,1013.2999877929688,2374,ECL.SN
2020-03-10,1022.2999877929688,15381,ECL.SN
2020-03-11,994.9199829101562,18165,ECL.SN
2020-03-12,949.8200073242188,27378,ECL.SN
2020-03-13,953.8400268554688,20600,ECL.SN
2020-03-16,760.0,78718,ECL.SN
2020-03-17,864.0,46719,ECL.SN
2020-03-18,814.5499877929688,16146,ECL.SN
2020-03-19,880.9000244140625,20216,ECL.SN
2020-03-20,950.0,1317797,ECL.SN
2020-03-23,846.0,97436,ECL.SN
2020-03-24,820.0,92106,ECL.SN
2020-03-25,864.0,648600,ECL.SN
2020-03-26,920.260009765625,14199,ECL.SN
2020-03-27,914.5,187098,ECL.SN
2020-03-30,870.0,118312,ECL.SN
2020-03-31,944.0,272959,ECL.SN
2020-04-01,909.989990234375,90620,ECL.SN
2020-04-02,965.0,87190,ECL.SN
2020-04-03,965.0,172363,ECL.SN
2020-04-06,1025.0,435087,ECL.SN
2020-04-07,1009.0,202269,ECL.SN
2020-04-08,1006.2000122070312,33657,ECL.SN
2020-04-09,989.989990234375,74403,ECL.SN
2020-04-13,1020.0,107758,ECL.SN
2020-04-14,1090.0,51198,ECL.SN
2020-04-15,1020.0,291773,ECL.SN
2020-04-16,1040.0,112467,ECL.SN
2020-04-17,1025.0,73516,ECL.SN
2020-04-20,1024.800048828125,168628,ECL.SN
2020-04-21,1000.0,36623,ECL.SN
2020-04-22,1000.0,72487,ECL.SN
2020-04-23,985.0,113427,ECL.SN
2020-04-24,960.0,90641,ECL.SN
2020-04-27,1026.800048828125,54549,ECL.SN
2020-04-28,1028.0,360623,ECL.SN
2020-04-29,1040.0,39439,ECL.SN
2020-04-30,1030.199951171875,254756,ECL.SN
2020-05-04,1020.0,147119,ECL.SN
2020-05-05,1023.4000244140625,12199,ECL.SN
2020-05-06,1030.0,104149,ECL.SN
2020-05-07,1030.0,43299,ECL.SN
2020-05-08,1000.0,258515,ECL.SN
2020-05-11,998.0,122624,ECL.SN
2020-05-12,980.0,61735,ECL.SN
2020-05-13,925.2000122070312,274843,ECL.SN
2020-05-14,950.0,98935,ECL.SN
2020-05-15,950.0,155583,ECL.SN
2020-05-18,950.0,96316,ECL.SN
2020-05-19,945.010009765625,68808,ECL.SN
2020-05-20,980.0999755859375,58645,ECL.SN
2020-05-22,997.97998046875,907488,ECL.SN
